Setting,Learn time(s),Threshold,Precision,Recall,F1,IoU,Dice,ROC-AUC,PR-AUC
U-Net (ImageNet pretrained),44.4,0.9,0.3828,0.5453,0.4498,0.2902,0.4498,0.9303,0.6645
U-Net (random init),45.0,0.9,0.4213,0.3296,0.3699,0.2269,0.3699,0.8667,0.5185
